Index,Year,Geo_Desc,White (Estimated),Black or African American (Estimated),American Indian and Alaska Native (Estimated),Asian (Estimated),Native Hawaiian and Other Pacific Islander (Estimated),Hispanic (Estimated),US Census Population Estimate,Total Employment (Number of Jobs),Personal Income,Personal Consumption Expenditures,Total Educational Attainment Estimate,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,total_opioid_prescriptions,tot_presc_opioid_od,,,,,,,,
451,2013,North Carolina,"7,219,335","2,291,490","223,771","305,080","20,018","857,206",9846717,5436745,376392.4,314202.1,995782,1217388,15508160,7.85,110673,9.09,"9,872,012","1,379",,,,,,,,
452,2013,North Dakota,"658,562","17,155","47,365","12,017",992,"20,596",723149,586758,39933.5,30418.9,94885,39906,588978,6.78,3472,8.7,"519,068",101.24086,,,,,,,,
453,2013,Ohio,"9,840,609","1,602,734","99,829","274,634","12,372","391,149",11579692,6681685,479088.7,393358.5,1116768,2073605,27267303,7.6,129494,6.24,"10,605,533",1621.15688,,,,,,,,
454,2013,Oklahoma,"3,103,103","351,141","521,303","100,354","10,712","370,692",3853891,2249096,169382.6,117649.8,396299,537393,6076809,8.84,33830,6.3,"4,689,843",539.54474,,,,,,,,
455,2013,Oregon,"3,586,609","112,459","131,457","213,170","29,547","480,596",3924110,2260337,156130,133292,366494,573480,5857569,9.79,57673,10.06,"3,825,110",549.3754,,,,,,,,
456,2013,Pennsylvania,"10,819,861","1,623,490","103,947","459,793","16,633","811,042",12779538,7350212,593682.1,493105.3,1248038,1554911,23257055,6.69,140251,9.02,"10,297,026",1789.13532,,,,,,,,
457,2013,Rhode Island,"923,947","96,827","18,482","41,972","3,072","144,891",1055560,602374,48544.7,39183,118708,108851,2058356,5.29,8387,7.71,"790,260",148,,,,,,,,
458,2013,South Carolina,"3,324,612","1,376,749","50,851","88,769","7,742","249,265",4766469,2500985,171617.2,151996.2,496703,475383,6918637,6.87,28666,6.03,"4,944,732",667,,,,,,,,
459,2013,South Dakota,"739,359","19,905","87,343","13,118","1,202","28,884",842751,581234,38365.9,29122.1,85437,50847,694748,7.32,4180,8.22,"582,759",118,,,,,,,,
460,2013,Tennessee,"5,237,994","1,164,142","67,090","132,579","10,328","318,419",6496943,3689682,256753.8,204581.1,633862,1021566,11126563,9.18,83242,8.15,"8,562,356",910,,,,,,,,
461,2013,Texas,"21,698,376","3,479,296","427,483","1,317,813","61,938","10,191,627",26479646,15532152,1184840.5,893396.7,2733619,1531487,30610606,5,62835,4.1,"19,514,085","3,707",,,,,,,,
462,2013,Utah,"2,717,591","53,747","63,971","91,988","41,772","386,066",2898773,1753374,106176.2,85430.1,333592,233588,2937252,7.95,20885,8.94,"2,464,249",405.82822,,,,,,,,
463,2013,Vermont,"606,831","10,835","7,618","12,023",533,"10,652",626603,424997,28964.3,26422.7,66326,118134,1335242,8.85,16549,14.01,"430,017",87.72442,,,,,,,,
464,2013,Virginia,"6,050,202","1,735,282","99,294","591,358","19,011","707,039",8255861,4898617,401684.3,313500.7,834850,730742,10508281,6.95,51828,7.09,"6,348,337",1155.82054,,,,,,,,
465,2013,Washington,"5,924,223","372,480","236,648","687,964","80,391","826,405",6966252,3991747,333763.7,265860.5,669118,620072,7032472,8.82,69150,11.15,"5,398,674",975,,,,,,,,
466,2013,West Virginia,"1,768,232","81,111","14,391","18,921","1,431","25,809",1854768,914247,65572.8,58325.7,178022,401118,5794848,6.92,22227,5.54,"2,324,152",260,,,,,,,,
467,2013,Wisconsin,"5,138,699","426,144","97,909","172,969","6,211","360,943",5738012,3539199,247847.4,200057.4,557500,899000,10155576,8.85,120342,13.39,"4,210,817",803,,,,,,,,
468,2013,Wyoming,"551,646","11,637","21,067","8,072","1,237","55,253",582620,400510,31240.1,21807.3,58969,41202,529696,7.78,4230,10.27,"433,126",82,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
