White Population (Estimated) Rate,Black or African American Population (Estimated) Rate,American Indian and Alaska Native Population (Estimated) Rate,Asian Population (Estimated) Rate,Native Hawaiian and Other Pacific Islander Population (Estimated) Rate,Hispanic Population (Estimated) Rate,US Census Population Estimate Rate,Total Employment (Number of Jobs) Rate,Personal Income Rate,Personal Consumption Expenditures Rate,Total Educational Attainment Estimate Rate,Total Opioid Claims Rate,Total Claims Rate,Opioid Prescribing Rate,Long Acting Total Opioid Claims Rate,Long Acting Opioid Prescribing Rate,Total Opioid Prescriptions Rate,Any Opioid Overdose Rate,Prescription Opioid Overdose Rate, Synthetic Opioids other than Methadone (primarily fentanyl) Overdose Rate,2013,2014,2015,2016,2017,2018,2019,2020,2021,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0.891529359,0.043876473,0.065423288,0.023539272,0.002623616,0.044762152,0.002342952,0.729925675,0.064276532,0.047997002,0.651390735,0.037767985,1.342403083,0.0281,0.000832976,0.0221,0.349921716,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.835426155,0.149341289,0.00953024,0.032187351,0.001426174,0.04315439,0.035431398,0.599124541,0.056954788,0.044147832,0.690049048,0.079910207,3.36936949,0.0237,0.003523869,0.0441,0.440942043,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.793200834,0.098139293,0.141817111,0.032941515,0.004036104,0.117887616,0.01202062,0.579868837,0.053808217,0.038605691,0.661423247,0.073627019,1.447365408,0.0509,0.019604758,0.2663,0.597527326,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.901389963,0.034102381,0.035607914,0.066304756,0.008921362,0.140257468,0.012818965,0.601390268,0.061449249,0.04766505,0.712034934,0.085399035,2.313118363,0.0369,0.011158515,0.1307,0.47307721,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.831044879,0.136756527,0.009659117,0.045866146,0.001768436,0.083377811,0.039189224,0.587942539,0.064041709,0.048858839,0.704111855,0.034973942,2.512699412,0.0139,0.003456409,0.0988,0.387786668,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.85664526,0.108040675,0.020120603,0.044813739,0.003737517,0.171127226,0.003303858,0.583651554,0.064295774,0.046850139,0.705081656,0.062520454,2.985976107,0.0209,0.005283573,0.0845,0.316389923,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.705985598,0.278583265,0.011789883,0.024699293,0.002010488,0.06356809,0.015640881,0.565797515,0.052440892,0.043284034,0.692896917,0.027835277,1.277793011,0.0218,0.002356898,0.0847,0.554126055,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.868487241,0.033993778,0.101010529,0.022847381,0.00263791,0.046501533,0.002699033,0.697986083,0.064405399,0.047697743,0.658782321,0.029083962,1.057349994,0.0275,0.00240581,0.0827,0.406083038,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.802859959,0.18103824,0.0117982,0.025681255,0.002071078,0.061285518,0.020987014,0.617286931,0.056616034,0.042510531,0.690914249,0.099624431,2.032198435,0.049,0.063699432,0.6394,0.66166644,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.798136931,0.142541608,0.017355538,0.062818585,0.002943415,0.400739792,0.089024262,0.627876802,0.059802085,0.045066539,0.650386564,0.019487352,0.959956513,0.0203,0.000824761,0.0423,0.375760246,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.928812532,0.02282163,0.023076188,0.039089722,0.017012302,0.148314537,0.010056613,0.673840927,0.056000052,0.04263824,0.602173991,0.036895128,1.013258611,0.0364,0.002772892,0.0752,0.497911571,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.960344497,0.02190203,0.012849088,0.025892929,0.001060324,0.022184886,0.001948526,0.651072999,0.061748267,0.050651033,0.71518551,0.067253297,2.465282887,0.0273,0.008910741,0.1325,0.326603006,0.247,0.05,0.218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
